index,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AK,12.13,11.56,11.77,11.06,10.28,11.21,10.45,10.13,9.55,9.25,8.87,8.56,8.41,8.11,7.79,7.43,7.05,7.55,8.1,7.87,7.67,7.46,7.24,7.83,8.29,8.11,7.85,7.63,7.51,9.3,9.06,8.76,8.49,8.25,7.95,7.97,8.5,8.24,8.08,7.96,7.83,8.83,9.75
AL,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
AR,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.21,6.95,7.31,7.96,7.71,7.56,7.45,7.33,7.57,8.0
AZ,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.79,7.67,8.09,7.96,7.82,7.97,8.01,7.98,8.13,8.05
CA,9.71,9.34,9.67,9.87,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,8.2,7.78,7.47,7.25,7.04,6.86,6.67,6.48,7.08,7.56,8.26,7.99,8.44,8.98,8.78,8.55,8.27,8.01,8.66,8.89,8.92,8.78,8.51,8.34,8.22,8.09,9.09,10.0
CO,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.9,7.8,8.12,7.96,7.83,7.96,7.99,8.09,8.31,8.31
CT,9.76,9.34,9.67,9.12,9.76,9.59,9.06,8.87,8.36,8.1,7.76,7.49,7.36,7.1,7.58,8.2,7.78,7.47,7.28,7.07,6.89,6.7,6.51,7.11,7.6,8.11,8.55,8.65,8.91,8.97,8.99,8.7,8.78,8.83,8.5,8.92,9.05,8.78,8.6,8.47,8.79,9.24,9.6
DC,9.71,9.34,9.67,9.08,9.73,9.56,9.0,9.87,9.67,9.37,8.98,8.67,8.51,8.21,9.81,9.36,8.88,8.52,8.27,8.03,8.48,8.24,8.01,8.57,9.03,8.83,8.55,8.31,8.18,8.0,7.79,8.09,8.31,8.08,7.78,8.42,9.05,8.78,8.6,8.47,8.34,9.59,10.5
DE,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.45,7.56,7.4,7.85,8.31,8.18,8.0,7.79,7.53,7.3,7.67,7.95,7.97,7.96,7.71,7.56,7.45,7.33,7.82,8.25
FL,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,7.6,7.7,7.55,8.04,7.96,7.71,7.99,8.0,8.02,8.13,8.05
